name,symbol,weight,original_price,current_price,ytd_return_num,sector,return_category
American Tower,AMT,0.29379,281.9219931781106,190.1,-32.57,Real Estate,negative
Cigna,CI,0.286764,227.79862414008753,291.4,27.92,Health Care,positive
BlackRock,BLK,0.280261,907.6583674755751,576,-36.54,Financials,negative
American Express,AXP,0.280168,160.97041685342896,143.65,-10.76,Financials,negative
Citigroup,C,0.273447,59.30789221720695,43.36,-26.89,Financials,negative
Gilead Sciences,GILD,0.268155,71.87533934194809,66.19,-7.91,Health Care,negative
T-Mobile US,TMUS,0.262238,115.62180579216354,135.74,17.4,Communication Services,positive
Chubb,CB,0.260107,195.15344125533818,196.5,0.69,Financials,positive
Altria Group,MO,0.257956,47.32719381814333,44.71,-5.53,Consumer Staples,negative
Mondelez International,MDLZ,0.255876,65.56818181818183,57.7,-12,Consumer Staples,negative
Marsh & McLennan,MMC,0.251404,173.23694956406578,156.97,-9.39,Financials,negative
TJX Companies,TJX,0.250336,75.71282517323641,66.65,-11.97,Consumer Discretionary,negative
Regeneron Pharmaceuticals,REGN,0.247848,619.8619363858791,709.37,14.44,Health Care,positive
General Electric,GE,0.247247,94.34794227685728,70.61,-25.16,Industrials,negative
Vertex Pharmaceuticals,VRTX,0.2463,213.62206452556882,292,36.69,Health Care,positive
Boeing,BA,0.245281,202.9610085019056,138.46,-31.78,Industrials,negative
Northrop Grumman,NOC,0.235556,389.44474146490484,509.9,30.93,Industrials,positive
Analog Devices,ADI,0.234712,172.52117588440458,138.5,-19.72,Information Technology,negative
Target Corporation,TGT,0.233269,229.61436561672065,156,-32.06,Consumer Discretionary,negative
EOG Resources,EOG,0.232481,88.68284701390783,130.08,46.68,Energy,positive
Stryker Corporation,SYK,0.231535,269.6155281821575,216.69,-19.63,Health Care,negative
ServiceNow,NOW,0.230608,646.7163907585956,355.5,-45.03,Information Technology,negative
Booking Holdings,BKNG,0.225525,NA,NA,-26.06,Consumer Discretionary,negative
Zoetis,ZTS,0.225059,240.3147306943543,148.13,-38.36,Health Care,negative
Progressive Corporation,PGR,0.224351,104.98463639467396,123,17.16,Financials,positive
Duke Energy,DUK,0.223002,103.14196603904357,89.29,-13.43,Utilities,negative
Southern Company,SO,0.222396,67.84478238070268,64.69,-4.65,Utilities,negative
Intuitive Surgical,ISRG,0.22179,392.896884272997,211.85,-46.08,Health Care,negative
Becton Dickinson,BDX,0.210444,246.1563624468433,225.75,-8.29,Health Care,negative
Applied Materials,AMAT,0.209396,162.58104998954192,77.73,-52.19,Information Technology,negative
PNC Financial Services,PNC,0.204818,194.78685156651258,151.7,-22.12,Financials,negative
3M,MMM,0.20472,173.60600490196077,113.33,-34.72,Industrials,negative
Humana,HUM,0.202401,458.62228386500226,496,8.15,Health Care,positive
CME Group,CME,0.199261,226.53382275825905,172.8,-23.72,Financials,negative
Fiserv,FISV,0.198843,102.40333262123478,95.87,-6.38,Information Technology,negative
Schlumberger,SLB,0.1955,31.470608551495474,45.56,44.77,Energy,positive
Colgate-Palmolive,CL,0.194933,83.9672322995904,71.75,-14.55,Consumer Staples,negative
CSX,CSX,0.194632,36.76548438327157,27.78,-24.44,Industrials,negative
Waste Management,WM,0.1939,166.85311787859956,161.08,-3.46,Industrials,negative
Aon,AON,0.188989,301.2008148386405,280.93,-6.73,Financials,negative
Boston Scientific,BSX,0.187332,42.275077559462254,40.88,-3.3,Health Care,negative
Pioneer Natural Resources,PXD,0.186712,186.69393826701378,251.01,34.45,Energy,positive
Micron Technology,MU,0.185507,93.79542634284702,52.91,-43.59,Information Technology,negative
U.S. Bancorp,USB,0.185153,54.199475065616795,41.3,-23.8,Financials,negative
Crown Castle,CCI,0.18423900000000001,203.44287949921753,130,-36.1,Real Estate,negative
Truist Financial,TFC,0.183483,57.24314837316053,42.4,-25.93,Financials,negative
Eaton Corporation,ETN,0.179224,171.72523961661344,139.75,-18.62,Industrials,negative
Dominion Energy,D,0.17724,76.74144037780401,65,-15.3,Utilities,negative
Illinois Tool Works,ITW,0.174281,276.45181876196557,216.6,-21.65,Industrials,negative
Marathon Petroleum,MPC,0.172558,64.42643317754245,108.9,69.03,Energy,positive
Dollar General,DG,0.172366,234.44168734491313,236.2,0.75,Consumer Discretionary,positive
Air Products & Chemicals,APD,0.171435,303.1006778809942,241.45,-20.34,Materials,negative
Edwards Lifesciences,EW,0.17132,129.09282066686694,85.95,-33.42,Health Care,negative
General Dynamics,GD,0.170854,211.88553370786516,241.38,13.92,Industrials,positive
Norfolk Southern,NSC,0.167074,346.27745045527587,258.6,-25.32,Industrials,negative
McKesson Corporation,MCK,0.165983,248.42264774762367,360.66,45.18,Health Care,positive
Intercontinental Exchange,ICE,0.165477,135.04941731818852,91.55,-32.21,Financials,negative
Activision Blizzard,ATVI,0.164588,66.49479790074578,72.22,8.61,Communication Services,positive
Occidental Petroleum,OXY,0.161605,29.341317365269457,68.6,133.8,Energy,positive
Sherwin-Williams,SHW,0.160464,343.226233852269,207.24,-39.62,Materials,negative
General Motors,GM,0.159284,57.68572406710031,33.7,-41.58,Consumer Discretionary,negative
Estée Lauder Companies,EL,0.159137,366.1678706570347,212.89,-41.86,Consumer Staples,negative
ADM,ADM,0.157511,67.99630371168949,88.3,29.86,Consumer Staples,positive
Equinix,EQIX,0.156839,822.7963049945201,525.52,-36.13,Real Estate,negative
Emerson Electric Company,EMR,0.154589,92.51452660362311,81.2,-12.23,Industrials,negative
Fidelity National Information Services,FIS,0.152106,107.25468269499582,76.73,-28.46,Information Technology,negative
Ford,F,0.15201,20.873618784530386,12.09,-42.08,Consumer Discretionary,negative
O'Reilly Automotive,ORLY,0.151397,702.0555767034641,737.72,5.08,Consumer Discretionary,positive
Public Storage,PSA,0.150249,353.7638331509181,290.9,-17.77,Real Estate,negative
General Mills,GIS,0.149209,67.34676308539946,78.23,16.16,Consumer Staples,positive
Valero Energy,VLO,0.148365,79.10657306955967,123.96,56.7,Energy,positive
Phillips 66,PSX,0.147489,73.84650180940893,97.95,32.64,Energy,positive
Devon Energy,DVN,0.146169,45.488982890333986,72.05,58.39,Energy,positive
Sempra Energy,SRE,0.145768,130.75593559537887,143.74,9.93,Utilities,positive
L3Harris Technologies,LHX,0.145491,214.15953132041463,237.61,10.95,Industrials,positive
HCA Healthcare,HCA,0.144668,255.88990825688072,209.19,-18.25,Health Care,negative
MetLife,MET,0.144438,62.45015301864046,67.34,7.83,Financials,positive
Moderna,MRNA,0.144328,234.5643939393939,123.85,-47.2,Health Care,negative
AutoZone,AZO,0.144057,NA,NA,10.04,Consumer Discretionary,positive
Synopsys,SNPS,0.142696,364.342453662842,288.96,-20.69,Information Technology,negative
American Electric Power,AEP,0.141832,88.37735073476517,86,-2.69,Utilities,negative
Corteva,CTVA,0.141528,47.088160822527435,61.37,30.33,Materials,positive
Lam Research,LRCX,0.141128,752.5681107637338,337,-55.22,Information Technology,negative
Autodesk,ADSK,0.139954,276.3239002521715,197.24,-28.62,Information Technology,negative
Centene Corporation,CNC,0.137746,82.83557597637021,75.72,-8.59,Health Care,negative
Chipotle Mexican Grill,CMG,0.137045,NA,NA,-11.68,Consumer Discretionary,negative
Cadence Design Systems,CDNS,0.136409,184.13991375179683,153.72,-16.52,Information Technology,negative
Amphenol,APH,0.132856,90.5516724912631,72.55,-19.88,Information Technology,negative
Marriott International,MAR,0.131562,165.1426682824722,149.9,-9.23,Consumer Discretionary,negative
Freeport-McMoRan,FCX,0.130351,41.74600849567892,28.5,-31.73,Materials,negative
American International Group,AIG,0.127974,57.020862609447626,52.75,-7.49,Financials,negative
Agilent Technologies,A,0.126893,155.61723180885727,128.96,-17.13,Health Care,negative
Roper Technologies,ROP,0.126817,486.6745283018869,371.43,-23.68,Industrials,negative
The Travelers Companies,TRV,0.126651,162.79898696182346,173.56,6.61,Financials,positive
Biogen,BIIB,0.125962,235.2507767421216,265.01,12.65,Health Care,positive
Sysco,SYY,0.125516,78.0373355095379,76.5,-1.97,Consumer Staples,negative
Kimberly-Clark,KMB,0.124741,142.25247524752476,114.94,-19.2,Consumer Staples,negative
Moody's Corporation,MCO,0.124183,384.1194219469588,241.88,-37.03,Financials,negative
Capital One Financial,COF,0.122304,139.43764568764567,95.71,-31.36,Financials,negative
KLA Corporation,KLAC,0.121933,438.4541526644263,273.99,-37.51,Information Technology,negative
DexCom,DXCM,0.121361,134.33042514887134,97,-27.79,Health Care,negative
Motorola Solutions,MSI,0.120901,267.90882778581766,222.15,-17.08,Information Technology,negative
Exelon,EXC,0.11918,40.41899747724032,36.85,-8.83,Utilities,negative
FedEx,FDX,0.118897,253.102763528049,152.95,-39.57,Industrials,negative
Allstate Corp,ALL,0.118803,115.74034426650682,135.15,16.77,Financials,positive
Williams Companies,WMB,0.118675,26.41573994867408,30.88,16.9,Energy,positive
Arthur J. Gallagher & Co.,AJG,0.11855,171.5152682785859,178.05,3.81,Financials,positive
NXP,NXPI,0.118305,228.37750484809305,141.32,-38.12,Information Technology,negative
Johnson Controls,JCI,0.117285,80.07639419404124,52.41,-34.55,Industrials,negative
Ecolab,ECL,0.11681,232.31939163498097,146.64,-36.88,Materials,negative
Charter Communications,CHTR,0.116658,641.3560666137986,323.5,-49.56,Communication Services,negative
Realty Income Corporation,O,0.115849,70.83028083028083,58.01,-18.1,Real Estate,negative
Prudential Financial,PRU,0.11573,106.81641276548426,96.06,-10.07,Financials,negative
TE Connectivity,TEL,0.115547,160.08859674192624,112.03,-30.02,Information Technology,negative
Constellation Brands,STZ,0.115439,251.81163434903047,227.26,-9.75,Consumer Staples,negative
Paychex,PAYX,0.11509,167.54153623886347,139.16,-16.94,Information Technology,negative
Hilton Worldwide,HLT,0.113562,155.99223677826296,128.6,-17.56,Consumer Discretionary,negative
Kinder Morgan,KMI,0.112721,15.84255622991789,17.75,12.04,Energy,positive
Twitter,TWTR,0.111393,43.34362741006594,51.93,19.81,Communication Services,positive
Monster Beverage,MNST,0.111347,93.66309308990553,88.24,-5.79,Consumer Staples,negative
Trane Technologies,TT,0.111341,195.5801104972375,145.14,-25.79,Industrials,negative
Hess Corporation,HES,0.111231,76.51902829245338,130.09,70.01,Energy,positive
Aflac,AFL,0.110742,58.3430345362825,60.14,3.08,Financials,positive
Cintas Corporation,CTAS,0.110647,441.14405378595836,400.25,-9.27,Industrials,negative
IQVIA,IQV,0.110002,273.05984999234653,178.39,-34.67,Health Care,negative
Parker-Hannifin,PH,0.109151,316.61897949451594,265.58,-16.12,Industrials,negative
Enphase Energy,ENPH,0.108954,177.53037910208832,243.98,37.43,Information Technology,positive
Fortinet,FTNT,0.107967,71.81095775826013,51.51,-28.27,Information Technology,negative
Xcel Energy,XEL,0.107065,67.12810371346957,61.1,-8.98,Utilities,negative
The Hershey Company,HSY,0.106813,195.50600051068173,229.7,17.49,Consumer Staples,positive
Dow,DOW,0.106572,55.03240797358445,45,-18.23,Materials,negative
M&T Bank,MTB,0.106417,132.27899432278994,163.1,23.3,Financials,positive
Newmont,NEM,0.105632,60.11302795954788,40.42,-32.76,Materials,negative
MSCI,MSCI,0.105603,598.0653869226154,398.79,-33.32,Financials,negative
Microchip Technology,MCHP,0.104423,89.60047003525266,61,-31.92,Information Technology,negative
Keurig Dr Pepper,KDP,0.104306,36.29202689721422,37.78,4.1,Consumer Staples,positive
Electronic Arts,EA,0.104267,134.71613386079332,126,-6.47,Communication Services,negative
Nucor,NUE,0.104263,113.25323305512244,123.48,9.03,Materials,positive
Illumina,ILMN,0.1036,372.85323609845034,204.51,-45.15,Health Care,negative
Simon Property Group,SPG,0.102771,158.75303643724695,98.03,-38.25,Real Estate,negative
ResMed,RMD,0.101861,256.18752974773923,215.3,-15.96,Health Care,negative
Yum! Brands,YUM,0.101447,137.58096661684107,110.45,-19.72,Consumer Discretionary,negative
Cognizant Technology Solutions,CTSH,0.101131,87.5073056691993,59.89,-31.56,Information Technology,negative
Cummins,CMI,0.100924,218.9362945645821,224.76,2.66,Industrials,positive
Global Payments,GPN,0.100795,133.98739445831848,112.67,-15.91,Information Technology,negative
Paccar,PCAR,0.099832,88.30284157259634,90.74,2.76,Industrials,positive
