name,symbol,weight,original_price,current_price,ytd_return_num,sector,return_category
PPL,PPL,0.059741,29.990528060620406,25.33,-15.54,Utilities,negative
Kellogg's,K,0.05918,64.85799438990182,73.99,14.08,Consumer Staples,positive
McCormick & Company,MKC,0.058921,96.71112262074324,74.69,-22.77,Consumer Staples,negative
Citizens Financial Group,CFG,0.058135,46.968534151957016,36.72,-21.82,Financials,negative
Northern Trust,NTRS,0.057878,108.54607508532423,79.51,-26.75,Financials,negative
Church & Dwight,CHD,0.057218,102.19322598556359,73.62,-27.96,Consumer Staples,negative
Dover Corporation,DOV,0.0563,178.5756327251324,121.36,-32.04,Industrials,negative
The Mosaic Company,MOS,0.056132,38.895762449737084,50.3,29.32,Materials,positive
Waters Corporation,WAT,0.055169,363.9417399291431,277.36,-23.79,Health Care,negative
Mid-America Apartments,MAA,0.055034,224.74116930572472,147.61,-34.32,Real Estate,negative
Verisign,VRSN,0.054604,252.7411519777932,182.1,-27.95,Information Technology,negative
Steris,STE,0.0544,238.17870884993587,167.13,-29.83,Health Care,negative
Amcor,AMCR,0.053891,11.752090928586746,10.96,-6.74,Materials,negative
CenterPoint Energy,CNP,0.053852,27.950310559006212,27,-3.4,Utilities,negative
Broadridge Financial Solutions,BR,0.053568,180.23109771414218,143.5,-20.38,Information Technology,negative
Xylem,XYL,0.053457,119.04151717068173,92.9,-21.96,Industrials,negative
Hewlett Packard Enterprise,HPE,0.053285,15.439284401421393,12.6,-18.39,Information Technology,negative
Conagra Brands,CAG,0.053181,34.151349237387564,34.93,2.28,Consumer Staples,positive
Clorox,CLX,0.052617,173.96464972261643,134.84,-22.49,Consumer Staples,negative
Darden Restaurants,DRI,0.052341,150.1467599909686,133,-11.42,Consumer Discretionary,negative
PerkinElmer,PKI,0.052272,196.88463911165942,127.66,-35.16,Health Care,negative
CMS Energy,CMS,0.052103,63.979298447383556,55.63,-13.05,Utilities,negative
Cincinnati Financial,CINF,0.051738,113.31165190086352,101.04,-10.83,Financials,negative
AES Corp,AES,0.051543,23.005676725425754,23.1,0.41,Utilities,positive
Teledyne Technologies,TDY,0.05129,439.871260886028,348.51,-20.77,Industrials,negative
Hologic,HOLX,0.051186,74.57118867698213,62.17,-16.63,Health Care,negative
Wabtec,WAB,0.050815,91.87763713080169,87.1,-5.2,Industrials,negative
Ball,BALL,0.050409,94.98751680430189,49.46,-47.93,Materials,negative
Synchrony Financial,SYF,0.050235,44.96797153024911,31.59,-29.75,Financials,negative
Paycom,PAYC,0.050185,404.31436861359913,320.5,-20.73,Information Technology,negative
KeyCorp,KEY,0.050179,22.476501838986515,16.5,-26.59,Financials,negative
IDEX Corporation,IEX,0.049643,233.96010089429032,204.06,-12.78,Industrials,negative
FactSet Research Systems,FDS,0.049188,482.24676404227523,406.1,-15.79,Information Technology,negative
Quest Diagnostics,DGX,0.049032,169.10547396528702,126.66,-25.1,Health Care,negative
Align Technology,ALGN,0.048894,640.0625978090767,204.5,-68.05,Health Care,negative
JM Smucker,SJM,0.04883,137.35319392724145,143.85,4.73,Consumer Staples,positive
EQT,EQT,0.048824,22.039645279081903,42.25,91.7,Utilities,positive
Expeditors,EXPD,0.048543,131.764876212538,91.01,-30.93,Industrials,negative
Targa Resources,TRGP,0.048528,52.57547463429815,67.57,28.52,Utilities,positive
Ventas,VTR,0.048312,49.79208584842388,37.12,-25.45,Real Estate,negative
Essex Property Trust,ESS,0.048095,342.9261663898536,227.12,-33.77,Real Estate,negative
Jacobs Engineering Group,J,0.047783,137.26551226551229,114.15,-16.84,Industrials,negative
FMC Corporation,FMC,0.047434,108.93557422969188,116.67,7.1,Materials,positive
Expedia Group,EXPE,0.046898,177.38073310001843,96.3,-45.71,Consumer Discretionary,negative
W. R. Berkley Corporation,WRB,0.046875,54.66646266829865,71.46,30.72,Financials,positive
Brown & Brown,BRO,0.046057,72.06331260599208,63.74,-11.55,Financials,negative
Omnicom Group,OMC,0.046034,72.3532522474881,68.41,-5.45,Communication Services,negative
Avery Dennison,AVY,0.045488,214.1678129298487,171.27,-20.03,Materials,negative
Atmos Energy,ATO,0.04513,105.0658978583196,102.04,-2.88,Utilities,negative
Monolithic Power Systems,MPWR,0.044865,492.15257151789905,314.83,-36.03,Information Technology,negative
J. B. Hunt,JBHT,0.044734,204.48015583150718,167.96,-17.86,Industrials,negative
NetApp,NTAP,0.044566,92.52199413489735,63.1,-31.8,Information Technology,negative
Trimble,TRMB,0.044446,85.73885848318999,54.83,-36.05,Information Technology,negative
Jack Henry & Associates,JKHY,0.044195,165.36456031816175,187.11,13.15,Information Technology,positive
Tyler Technologies,TYL,0.044018,533.158979236012,336.37,-36.91,Information Technology,negative
Zebra Technologies,ZBRA,0.043714,587.4154262516914,260.46,-55.66,Information Technology,negative
Akamai Technologies,AKAM,0.043535,114.88210818307905,82.83,-27.9,Information Technology,negative
Iron Mountain,IRM,0.043404,51.41017099711303,46.3,-9.94,Real Estate,negative
Best Buy,BBY,0.042973,97.48130056479928,63.86,-34.49,Consumer Discretionary,negative
LKQ Corporation,LKQ,0.042894,59.69191270860077,51.15,-14.31,Consumer Discretionary,negative
Catalent,CTLT,0.04269,121.44199555783358,71.08,-41.47,Health Care,negative
Evergy,EVRG,0.042684,67.99580272822666,58.32,-14.23,Utilities,negative
Incyte,INCY,0.042396,71.83113129644921,69.59,-3.12,Health Care,negative
Hormel,HRL,0.042383,49.18417404287085,46.12,-6.23,Consumer Staples,negative
Textron,TXT,0.042321,76.3268328807702,61.84,-18.98,Industrials,negative
Skyworks Solutions,SWKS,0.041993,154.50928381962862,81.55,-47.22,Information Technology,negative
APA Corporation,APA,0.041593,28.342787682333874,41.97,48.08,Energy,positive
Match Group,MTCH,0.041327,128.6453839516825,44.73,-65.23,Communication Services,negative
Fleetcor,FLT,0.041274,217.90268019776215,167.48,-23.14,Information Technology,negative
Cboe Global Markets,CBOE,0.041231,128.00641368252272,119.75,-6.45,Financials,negative
NVR,NVR,0.041104,NA,NA,-29.58,Consumer Discretionary,negative
Garmin,GRMN,0.040926,133.27311545409756,81.15,-39.11,Consumer Discretionary,negative
Leidos,LDOS,0.040905,88.39040121407568,93.19,5.43,Industrials,positive
Howmet Aerospace,HWM,0.040518,32.0769012217066,33.87,5.59,Industrials,positive
Pool Corporation,POOL,0.040496,529.144479943202,298.12,-43.66,Consumer Discretionary,negative
Etsy,ETSY,0.040446,206.36304205709305,94.7,-54.11,Consumer Discretionary,negative
Alliant Energy,LNT,0.040391,60.77981651376147,50.35,-17.16,Utilities,negative
The Cooper Companies,COO,0.040334,415.68881685575366,256.48,-38.3,Health Care,negative
Host Hotels & Resorts,HST,0.039761,17.270935960591135,17.53,1.5,Real Estate,positive
International Paper,IP,0.039621,45.608628659476125,32.56,-28.61,Materials,negative
NortonLifeLock,NLOK,0.039569,26.028557599225557,21.51,-17.36,Information Technology,negative
Healthpeak Properties,PEAK,0.039565,34.65793984728066,22.24,-35.83,Real Estate,negative
Camden Property Trust,CPT,0.039227,174.45063447848963,112.73,-35.38,Real Estate,negative
Lamb Weston,LW,0.039206,62.20735785953177,83.7,34.55,Consumer Staples,positive
Kimco Realty,KIM,0.038593,23.0952380952381,18.43,-20.2,Real Estate,negative
Domino's Pizza,DPZ,0.038431,555.5936856554564,323.8,-41.72,Consumer Discretionary,negative
C. H. Robinson,CHRW,0.038122,104.55359140747372,93.45,-10.62,Industrials,negative
UDR,UDR,0.038075,58.2958295829583,38.86,-33.34,Real Estate,negative
Brown–Forman,BF.B,0.038065,71.21799844840963,64.26,-9.77,Consumer Staples,negative
United Airlines,UAL,0.037939,45.82745651151858,38.99,-14.92,Industrials,negative
Nordson,NDSN,0.037743,253.0469297221574,216.76,-14.34,Industrials,negative
Las Vegas Sands,LVS,0.037691,37.27425451490971,35.5,-4.76,Consumer Discretionary,negative
PTC,PTC,0.037352,118.29666739272491,108.62,-8.18,Information Technology,negative
Bio-Techne,TECH,0.037314,494.01709401709405,289,-41.5,Health Care,negative
Abiomed,ABMD,0.037281,350.94235033259423,253.24,-27.84,Health Care,negative
Stanley Black & Decker,SWK,0.037217,181.70731707317074,74.5,-59,Industrials,negative
Snap-on,SNA,0.037051,206.06422109553634,207.28,0.59,Industrials,positive
Viatris,VTRS,0.036831,13.205687737575673,9.38,-28.97,Health Care,negative
Solaredge Technologies,SEDG,0.036645,270.52617340727716,200,-26.07,Materials,negative
Interpublic Group,IPG,0.036551,36.41359918200409,28.49,-21.76,Communication Services,negative
Teradyne,TER,0.036515,165.80543698045383,73.8,-55.49,Information Technology,negative
Live Nation Entertainment,LYV,0.036183,119.71132160577359,79.62,-33.49,Communication Services,negative
Everest Re,RE,0.035139,274.6603662138216,279,1.58,Financials,positive
Packaging Corporation of America,PKG,0.035139,133.47334033368335,114.4,-14.29,Materials,negative
Masco,MAS,0.035113,66.88311688311688,46.35,-30.7,Industrials,negative
Advance Auto Parts,AAP,0.034639,235.03569467325642,171.2,-27.16,Consumer Discretionary,negative
Royal Caribbean Group,RCL,0.034587,74.02123949912823,46.7,-36.91,Consumer Discretionary,negative
Loews Corporation,L,0.034087,57.68376520359598,54.54,-5.45,Financials,negative
MGM Resorts International,MGM,0.033998,44.21937439713381,32.09,-27.43,Consumer Discretionary,negative
Seagate Technology,STX,0.033713,112.73464163822524,52.85,-53.12,Information Technology,negative
Globe Life,GL,0.033612,93.06324927656057,112.56,20.95,Financials,positive
Boston Properties,BXP,0.033505,111.19368323269855,71.82,-35.41,Real Estate,negative
Western Digital,WDC,0.033459,64.0279394644936,33,-48.46,Information Technology,negative
Charles River Laboratories,CRL,0.032785,366.03221083455344,200,-45.36,Health Care,negative
Campbell Soup,CPB,0.032742,43.74516378643281,50.88,16.31,Consumer Staples,positive
NiSource,NI,0.032709,27.185314685314683,24.88,-8.48,Utilities,negative
NRG Energy,NRG,0.032327,42.07781789009226,41.96,-0.28,Utilities,negative
Paramount Global Class B,PARA,0.031649,29.44076413495609,19.11,-35.09,Communication Services,negative
Signature Bank,SBNY,0.031387,313.1606004523956,152.29,-51.37,Financials,negative
CarMax,KMX,0.031325,123.39055793991416,57.5,-53.4,Consumer Discretionary,negative
Comerica,CMA,0.03132,79.16910473961381,67.65,-14.55,Financials,negative
VF Corporation,VFC,0.030436,70.74796346581091,28.66,-59.49,Consumer Discretionary,negative
Huntington Ingalls Industries,HII,0.030354,190.30995616781462,243.14,27.76,Industrials,positive
Henry Schein,HSIC,0.03029,76.66515632079746,67.68,-11.72,Health Care,negative
Celanese,CE,0.030267,163.96316628298212,92.59,-43.53,Materials,negative
PulteGroup,PHM,0.030012,54.233376604644455,37.6,-30.67,Consumer Discretionary,negative
Teleflex,TFX,0.029979,321.3183958434811,197.9,-38.41,Health Care,negative
Eastman Chemical,EMN,0.029596,117.39967897271268,73.14,-37.7,Materials,negative
Molson Coors Beverage Company,TAP,0.029586,46.36971466239759,49.24,6.19,Consumer Staples,positive
Generac Holdings,GNRC,0.029561,262.2201048118152,110.08,-58.02,Industrials,negative
Robert Half International,RHI,0.029117,109.09704413551086,80.83,-25.91,Industrials,negative
MarketAxess,MKTX,0.029027,398.1412005457026,233.47,-41.36,Financials,negative
Fox Corporation (Class A),FOXA,0.028639,37.444711234677115,29.63,-20.87,Communication Services,negative
Ceridian,CDAY,0.028563,102.9912233566183,57.5,-44.17,Information Technology,negative
Juniper Networks,JNPR,0.028276,35.61946902654867,27.37,-23.16,Information Technology,negative
American Airlines Group,AAL,0.028084,18.353434714210803,14,-23.72,Industrials,negative
Bio-Rad Laboratories,BIO,0.027719,715.6418354077653,385.23,-46.17,Health Care,negative
F5 Networks,FFIV,0.027494,241.2741443578448,142.4,-40.98,Information Technology,negative
Allegion,ALLE,0.027053,128.16195909280646,92.11,-28.13,Industrials,negative
WestRock,WRK,0.027002,42.99639471224463,32.2,-25.11,Materials,negative
Regency Centers,REG,0.026924,73.65423728813559,54.32,-26.25,Real Estate,negative
Qorvo,QRVO,0.026846,157.32974220854177,81.78,-48.02,Information Technology,negative
Hasbro,HAS,0.026824,101.76443275034825,65.75,-35.39,Consumer Discretionary,negative
Caesars Entertainment,CZR,0.02643,89.53068592057762,37.2,-58.45,Consumer Discretionary,negative
Assurant,AIZ,0.026303,153.4012918853452,151.99,-0.92,Financials,negative
BorgWarner,BWA,0.026016,45.018498942917546,34.07,-24.32,Consumer Discretionary,negative
Rollins,ROL,0.025952,34.40619460770594,36.88,7.19,Industrials,positive
Whirlpool Corporation,WHR,0.025801,226.34750040709983,139,-38.59,Consumer Discretionary,negative
Tapestry,TPR,0.025196,39.71714026209939,30.61,-22.93,Consumer Discretionary,negative
Carnival Corporation,CCL,0.025147,19.07370517928287,7.66,-59.84,Consumer Discretionary,negative
Zions Bancorp,ZION,0.025068,62.162818955042525,51.16,-17.7,Financials,negative
Bath & Body Works Inc.,BBWI,0.024596,67.34989648033127,32.53,-51.7,Consumer Discretionary,negative
Lincoln National,LNC,0.02456,66.77228268356522,48.47,-27.41,Financials,negative
Fortune Brands Home & Security,FBHS,0.023879,101.88923874791627,55.01,-46.01,Industrials,negative
Pinnacle West Capital,PNW,0.023166,70.1917808219178,64.05,-8.75,Utilities,negative
Sealed Air,SEE,0.02263,67.4550346976349,47.63,-29.39,Materials,negative
Pentair,PNR,0.022026,70.74912891986064,40.61,-42.6,Industrials,negative
A. O. Smith,AOS,0.021834,84.20965334217948,50.77,-39.71,Industrials,negative
Invesco,IVZ,0.02173,22.5254394079556,14.61,-35.14,Financials,negative
Lumen Technologies,LUMN,0.020732,12.143237014713703,6.85,-43.59,Communication Services,negative
Federal Realty Investment Trust,FRT,0.020701,133.6115992970123,91.23,-31.72,Real Estate,negative
DXC Technology,DXC,0.020618,32.303983469176906,28.14,-12.89,Information Technology,negative
Universal Health Services,UHS,0.020455,128.89883374016816,95.05,-26.26,Health Care,negative
Dentsply Sirona,XRAY,0.020359,54.686907020872866,28.82,-47.3,Health Care,negative
News Corp (Class A),NWSA,0.020282,22.775947281713343,16.59,-27.16,Communication Services,negative
Franklin Resources,BEN,0.019638,33.090422367638304,22.25,-32.76,Financials,negative
Organon & Co.,OGN,0.019521,29.692617787855884,23.57,-20.62,Health Care,negative
Wynn Resorts,WYNN,0.018999,81.81818181818183,54.45,-33.45,Consumer Discretionary,negative
Norwegian Cruise Line Holdings,NCLH,0.018986,20.159420289855074,13.91,-31,Consumer Discretionary,negative
Newell Brands,NWL,0.01837,21.566939302625915,15.03,-30.31,Consumer Discretionary,negative
Alaska Air Group,ALK,0.01679,51.80263319798204,42.1,-18.73,Industrials,negative
Mohawk Industries,MHK,0.016242,174.99078510873574,94.95,-45.74,Consumer Discretionary,negative
DaVita,DVA,0.016038,114.61256478321324,90.67,-20.89,Health Care,negative
Ralph Lauren Corporation,RL,0.012961,115.51919446192575,91.78,-20.55,Consumer Discretionary,negative
Fox Corporation (Class B),FOX,0.012947,34.36878727634195,27.66,-19.52,Communication Services,negative
Vornado Realty Trust,VNO,0.011427,40.53607490361667,22.08,-45.53,Real Estate,negative
Dish Network,DISH,0.011181,31.040806969280148,13.54,-56.38,Communication Services,negative
News Corp (Class B),NWS,0.006445,22.267759562841533,16.3,-26.8,Communication Services,negative
