company,symbol,weight,current_price,ytd_return
NRG Energy Inc.,NRG,0.032327,   41.96, -0.28%
Paramount Global Class B,PARA,0.031649,   19.11, -35.09%
Signature Bank,SBNY,0.031387,   152.29, -51.37%
CarMax Inc.,KMX,0.031325,   57.50, -53.40%
Comerica Incorporated,CMA,0.03132,   67.65, -14.55%
V.F. Corporation,VFC,0.030436,   28.66, -59.49%
Huntington Ingalls Industries Inc.,HII,0.030354,   243.14, 27.76%
Henry Schein Inc.,HSIC,0.03029,   67.68, -11.72%
Celanese Corporation,CE,0.030267,   92.59, -43.53%
PulteGroup Inc.,PHM,0.030012,   37.60, -30.67%
Teleflex Incorporated,TFX,0.029979,   197.90, -38.41%
Eastman Chemical Company,EMN,0.029596,   73.14, -37.70%
Molson Coors Beverage Company Class B,TAP,0.029586,   49.24, 6.19%
Generac Holdings Inc.,GNRC,0.029561,   110.08, -58.02%
Robert Half International Inc.,RHI,0.029117,   80.83, -25.91%
MarketAxess Holdings Inc.,MKTX,0.029027,   233.47, -41.36%
Fox Corporation Class A,FOXA,0.028639,   29.63, -20.87%
Ceridian HCM Holding Inc.,CDAY,0.028563,   57.50, -44.17%
Juniper Networks Inc.,JNPR,0.028276,   27.37, -23.16%
American Airlines Group Inc.,AAL,0.028084,   14.00, -23.72%
Bio-Rad Laboratories Inc. Class A,BIO,0.027719,   385.23, -46.17%
F5 Inc.,FFIV,0.027494,   142.40, -40.98%
Allegion Public Limited Company,ALLE,0.027053,   92.11, -28.13%
WestRock Company,WRK,0.027002,   32.20, -25.11%
Regency Centers Corporation,REG,0.026924,   54.32, -26.25%
Qorvo Inc.,QRVO,0.026846,   81.78, -48.02%
Hasbro Inc.,HAS,0.026824,   65.75, -35.39%
Caesars Entertainment Inc,CZR,0.02643,   37.20, -58.45%
Assurant Inc.,AIZ,0.026303,   151.99, -0.92%
BorgWarner Inc.,BWA,0.026016,   34.07, -24.32%
Rollins Inc.,ROL,0.025952,   36.88, 7.19%
Whirlpool Corporation,WHR,0.025801,   139.00, -38.59%
Tapestry Inc.,TPR,0.025196,   30.61, -22.93%
Carnival Corporation,CCL,0.025147,   7.66, -59.84%
Zions Bancorporation N.A.,ZION,0.025068,   51.16, -17.70%
Bath & Body Works Inc.,BBWI,0.024596,   32.53, -51.70%
Lincoln National Corporation,LNC,0.02456,   48.47, -27.41%
Fortune Brands Home & Security Inc.,FBHS,0.023879,   55.01, -46.01%
Pinnacle West Capital Corporation,PNW,0.023166,   64.05, -8.75%
Sealed Air Corporation,SEE,0.02263,   47.63, -29.39%
Pentair plc,PNR,0.022026,   40.61, -42.60%
A. O. Smith Corporation,AOS,0.021834,   50.77, -39.71%
Invesco Ltd.,IVZ,0.02173,   14.61, -35.14%
Lumen Technologies Inc.,LUMN,0.020732,   6.85, -43.59%
Federal Realty Investment Trust,FRT,0.020701,   91.23, -31.72%
DXC Technology Co.,DXC,0.020618,   28.14, -12.89%
Universal Health Services Inc. Class B,UHS,0.020455,   95.05, -26.26%
DENTSPLY SIRONA Inc.,XRAY,0.020359,   28.82, -47.30%
News Corporation Class A,NWSA,0.020282,   16.59, -27.16%
Franklin Resources Inc.,BEN,0.019638,   22.25, -32.76%
Organon & Co.,OGN,0.019521,   23.57, -20.62%
Wynn Resorts Limited,WYNN,0.018999,   54.45, -33.45%
Norwegian Cruise Line Holdings Ltd.,NCLH,0.018986,   13.91, -31.00%
Newell Brands Inc,NWL,0.01837,   15.03, -30.31%
Alaska Air Group Inc.,ALK,0.01679,   42.10, -18.73%
Mohawk Industries Inc.,MHK,0.016242,   94.95, -45.74%
DaVita Inc.,DVA,0.016038,   90.67, -20.89%
Ralph Lauren Corporation Class A,RL,0.012961,   91.78, -20.55%
Fox Corporation Class B,FOX,0.012947,   27.66, -19.52%
Vornado Realty Trust,VNO,0.011427,   22.08, -45.53%
DISH Network Corporation Class A,DISH,0.011181,   13.54, -56.38%
News Corporation Class B,NWS,0.006445,   16.30, -26.80%
