company,symbol,weight,current_price,ytd_return
Southern Company,SO,0.222396,   64.69, -4.65%
Intuitive Surgical Inc.,ISRG,0.22179,   211.85, -46.08%
Becton Dickinson and Company,BDX,0.210444,   225.75, -8.29%
Applied Materials Inc.,AMAT,0.209396,   77.73, -52.19%
PNC Financial Services Group Inc.,PNC,0.204818,   151.70, -22.12%
3M Company,MMM,0.20472,   113.33, -34.72%
Humana Inc.,HUM,0.202401,   496.00, 8.15%
CME Group Inc. Class A,CME,0.199261,   172.80, -23.72%
Fiserv Inc.,FISV,0.198843,   95.87, -6.38%
Schlumberger NV,SLB,0.1955,   45.56, 44.77%
Colgate-Palmolive Company,CL,0.194933,   71.75, -14.55%
CSX Corporation,CSX,0.194632,   27.78, -24.44%
Waste Management Inc.,WM,0.1939,   161.08, -3.46%
Aon Plc Class A,AON,0.188989,   280.93, -6.73%
Boston Scientific Corporation,BSX,0.187332,   40.88, -3.30%
Pioneer Natural Resources Company,PXD,0.186712,   251.01, 34.45%
Micron Technology Inc.,MU,0.185507,   52.91, -43.59%
U.S. Bancorp,USB,0.185153,   41.30, -23.80%
Crown Castle Inc.,CCI,0.18423900000000001,   130.00, -36.10%
Truist Financial Corporation,TFC,0.183483,   42.40, -25.93%
Eaton Corp. Plc,ETN,0.179224,   139.75, -18.62%
Dominion Energy Inc,D,0.17724,   65.00, -15.30%
Illinois Tool Works Inc.,ITW,0.174281,   216.60, -21.65%
Marathon Petroleum Corporation,MPC,0.172558,   108.90, 69.03%
Dollar General Corporation,DG,0.172366,   236.20, 0.75%
Air Products and Chemicals Inc.,APD,0.171435,   241.45, -20.34%
Edwards Lifesciences Corporation,EW,0.17132,   85.95, -33.42%
General Dynamics Corporation,GD,0.170854,   241.38, 13.92%
Norfolk Southern Corporation,NSC,0.167074,   258.60, -25.32%
McKesson Corporation,MCK,0.165983,   360.66, 45.18%
Intercontinental Exchange Inc.,ICE,0.165477,   91.55, -32.21%
Activision Blizzard Inc.,ATVI,0.164588,   72.22, 8.61%
Occidental Petroleum Corporation,OXY,0.161605,   68.60, 133.80%
Sherwin-Williams Company,SHW,0.160464,   207.24, -39.62%
General Motors Company,GM,0.159284,   33.70, -41.58%
Estee Lauder Companies Inc. Class A,EL,0.159137,   212.89, -41.86%
Archer-Daniels-Midland Company,ADM,0.157511,   88.30, 29.86%
Equinix Inc.,EQIX,0.156839,   525.52, -36.13%
Emerson Electric Co.,EMR,0.154589,   81.20, -12.23%
Fidelity National Information Services Inc.,FIS,0.152106,   76.73, -28.46%
Ford Motor Company,F,0.15201,   12.09, -42.08%
O'Reilly Automotive Inc.,ORLY,0.151397,   737.72, 5.08%
Public Storage,PSA,0.150249,   290.90, -17.77%
General Mills Inc.,GIS,0.149209,   78.23, 16.16%
Valero Energy Corporation,VLO,0.148365,   123.96, 56.70%
Phillips 66,PSX,0.147489,   97.95, 32.64%
Devon Energy Corporation,DVN,0.146169,   72.05, 58.39%
Sempra Energy,SRE,0.145768,   143.74, 9.93%
L3Harris Technologies Inc,LHX,0.145491,   237.61, 10.95%
HCA Healthcare Inc,HCA,0.144668,   209.19, -18.25%
MetLife Inc.,MET,0.144438,   67.34, 7.83%
Moderna Inc.,MRNA,0.144328,   123.85, -47.20%
AutoZone Inc.,AZO,0.144057,"   2,289.80", 10.04%
Synopsys Inc.,SNPS,0.142696,   288.96, -20.69%
American Electric Power Company Inc.,AEP,0.141832,   86.00, -2.69%
Corteva Inc,CTVA,0.141528,   61.37, 30.33%
Lam Research Corporation,LRCX,0.141128,   337.00, -55.22%
Autodesk Inc.,ADSK,0.139954,   197.24, -28.62%
Centene Corporation,CNC,0.137746,   75.72, -8.59%
Chipotle Mexican Grill Inc.,CMG,0.137045,"   1,527.21", -11.68%
Cadence Design Systems Inc.,CDNS,0.136409,   153.72, -16.52%
Amphenol Corporation Class A,APH,0.132856,   72.55, -19.88%
Marriott International Inc. Class A,MAR,0.131562,   149.90, -9.23%
Freeport-McMoRan Inc.,FCX,0.130351,   28.50, -31.73%
American International Group Inc.,AIG,0.127974,   52.75, -7.49%
Agilent Technologies Inc.,A,0.126893,   128.96, -17.13%
Roper Technologies Inc.,ROP,0.126817,   371.43, -23.68%
